2018-06-21 04:50:10,Roboreef ORP is too high. ORP = 302.95 ,Email sent!,
2018-06-21 04:52:23,Roboreef ORP is too high. ORP = 303.0375 ,Email sent!,
2018-06-21 04:54:37,Roboreef ORP is too high. ORP = 303.0 ,Email sent!,
2018-06-21 04:56:50,Roboreef ORP is too high. ORP = 302.96875 ,Email sent!,
2018-06-21 04:59:04,Roboreef ORP is too high. ORP = 302.99375 ,Email sent!,
2018-06-21 05:01:17,Roboreef ORP is too high. ORP = 303.07500000000005 ,Email sent!,
2018-06-21 05:03:31,Roboreef ORP is too high. ORP = 303.0 ,Email sent!,
2018-06-21 05:05:44,Roboreef ORP is too high. ORP = 302.90625 ,Email sent!,
2018-06-21 05:07:58,Roboreef ORP is too high. ORP = 302.94374999999997 ,Email sent!,
2018-06-21 05:10:11,Roboreef ORP is too high. ORP = 302.98125 ,Email sent!,
2018-06-21 05:12:25,Roboreef ORP is too high. ORP = 302.91875 ,Email sent!,
2018-06-21 05:14:38,Roboreef ORP is too high. ORP = 302.89374999999995 ,Email sent!,
2018-06-21 05:16:52,Roboreef ORP is too high. ORP = 302.92499999999995 ,Email sent!,
2018-06-21 05:19:06,Roboreef ORP is too high. ORP = 302.95624999999995 ,Email sent!,
2018-06-21 05:21:19,Roboreef ORP is too high. ORP = 303.09375 ,Email sent!,
2018-06-21 05:23:33,Roboreef ORP is too high. ORP = 303.0625 ,Email sent!,
2018-06-21 05:25:46,Roboreef ORP is too high. ORP = 303.0625 ,Email sent!,
2018-06-21 05:28:00,Roboreef ORP is too high. ORP = 302.9875 ,Email sent!,
2018-06-21 05:30:13,Roboreef ORP is too high. ORP = 303.14375 ,Email sent!,
2018-06-21 05:32:27,Roboreef ORP is too high. ORP = 303.19375 ,Email sent!,
2018-06-21 05:34:41,Roboreef ORP is too high. ORP = 303.53125 ,Email sent!,
2018-06-21 05:36:54,Roboreef ORP is too high. ORP = 303.725 ,Email sent!,
2018-06-21 05:39:08,Roboreef ORP is too high. ORP = 303.6875 ,Email sent!,
2018-06-21 05:41:22,Roboreef ORP is too high. ORP = 303.80625000000003 ,Email sent!,
2018-06-21 05:43:35,Roboreef ORP is too high. ORP = 304.0375 ,Email sent!,
