DD/MM/YYYY,Date (number),MM (mo),DD (dy),hh (hr),Average of WTMP (deg C)
1/6/2017,42741.96,1,6,23,27.42
1/7/2017,42742.00,1,7,0,27.28
1/7/2017,42742.04,1,7,1,27.18
1/7/2017,42742.08,1,7,2,27.07
1/7/2017,42742.13,1,7,3,27
1/7/2017,42742.17,1,7,4,26.91
1/7/2017,42742.21,1,7,5,26.84
1/7/2017,42742.25,1,7,6,26.8
1/7/2017,42742.29,1,7,7,26.73
1/7/2017,42742.33,1,7,8,26.7
1/7/2017,42742.38,1,7,9,26.61
1/7/2017,42742.42,1,7,10,26.56
1/7/2017,42742.46,1,7,11,26.5
1/7/2017,42742.50,1,7,12,26.55
1/7/2017,42742.54,1,7,13,26.7
1/7/2017,42742.58,1,7,14,26.83
1/7/2017,42742.63,1,7,15,27.04
1/7/2017,42742.67,1,7,16,27.31
1/7/2017,42742.71,1,7,17,27.56
1/7/2017,42742.75,1,7,18,27.75
1/7/2017,42742.79,1,7,19,27.72
1/7/2017,42742.83,1,7,20,27.47
1/7/2017,42742.88,1,7,21,27.29
1/7/2017,42742.92,1,7,22,27.08
1/7/2017,42742.96,1,7,23,26.98
1/8/2017,42743.00,1,8,0,26.9
1/8/2017,42743.04,1,8,1,26.86
1/8/2017,42743.08,1,8,2,26.72
1/8/2017,42743.13,1,8,3,26.7
1/8/2017,42743.17,1,8,4,26.61
1/8/2017,42743.21,1,8,5,26.6
1/8/2017,42743.25,1,8,6,26.52
1/8/2017,42743.29,1,8,7,26.52
1/8/2017,42743.33,1,8,8,26.55
1/8/2017,42743.38,1,8,9,26.5
1/8/2017,42743.42,1,8,10,26.5
1/8/2017,42743.46,1,8,11,26.5
1/8/2017,42743.50,1,8,12,26.52
1/8/2017,42743.54,1,8,13,26.74
1/8/2017,42743.58,1,8,14,26.97
1/8/2017,42743.63,1,8,15,27.2
1/8/2017,42743.67,1,8,16,27.51
1/8/2017,42743.71,1,8,17,27.77
1/8/2017,42743.75,1,8,18,28.01
1/8/2017,42743.79,1,8,19,28.03
1/8/2017,42743.83,1,8,20,27.98
1/8/2017,42743.88,1,8,21,28.01
1/8/2017,42743.92,1,8,22,27.91
1/8/2017,42743.96,1,8,23,27.77
1/9/2017,42744.00,1,9,0,27.6
1/9/2017,42744.04,1,9,1,27.41
1/9/2017,42744.08,1,9,2,27.21
1/9/2017,42744.13,1,9,3,27.12
1/9/2017,42744.17,1,9,4,27.1
1/9/2017,42744.21,1,9,5,26.97
1/9/2017,42744.25,1,9,6,26.9
1/9/2017,42744.29,1,9,7,26.9
1/9/2017,42744.33,1,9,8,26.87
1/9/2017,42744.38,1,9,9,26.81
1/9/2017,42744.42,1,9,10,26.8
1/9/2017,42744.46,1,9,11,26.8
1/9/2017,42744.50,1,9,12,26.81
1/9/2017,42744.54,1,9,13,26.9
1/9/2017,42744.58,1,9,14,27.04
1/9/2017,42744.63,1,9,15,27.14
1/9/2017,42744.67,1,9,16,27.38
1/9/2017,42744.71,1,9,17,27.76
1/9/2017,42744.75,1,9,18,28
1/9/2017,42744.79,1,9,19,27.93
1/9/2017,42744.83,1,9,20,27.84
1/9/2017,42744.88,1,9,21,27.87
1/9/2017,42744.92,1,9,22,27.71
1/9/2017,42744.96,1,9,23,27.54
1/10/2017,42745.00,1,10,0,27.41
1/10/2017,42745.04,1,10,1,27.35
1/10/2017,42745.08,1,10,2,27.16
1/10/2017,42745.13,1,10,3,27.01
1/10/2017,42745.17,1,10,4,26.91
1/10/2017,42745.21,1,10,5,26.87
1/10/2017,42745.25,1,10,6,26.72
1/10/2017,42745.29,1,10,7,26.7
1/10/2017,42745.33,1,10,8,26.7
1/10/2017,42745.38,1,10,9,26.65
1/10/2017,42745.42,1,10,10,26.6
1/10/2017,42745.46,1,10,11,26.6
1/10/2017,42745.50,1,10,12,26.67
1/10/2017,42745.54,1,10,13,26.75
1/10/2017,42745.58,1,10,14,26.89
1/10/2017,42745.63,1,10,15,27.09
1/10/2017,42745.67,1,10,16,27.35
1/10/2017,42745.71,1,10,17,27.76
1/10/2017,42745.75,1,10,18,28.07
1/10/2017,42745.79,1,10,19,28.03
1/10/2017,42745.83,1,10,20,27.85
1/10/2017,42745.88,1,10,21,27.92
1/10/2017,42745.92,1,10,22,27.89
1/10/2017,42745.96,1,10,23,27.76
1/11/2017,42746.00,1,11,0,27.58
1/11/2017,42746.04,1,11,1,27.42
1/11/2017,42746.08,1,11,2,27.15
1/11/2017,42746.13,1,11,3,26.92
1/11/2017,42746.17,1,11,4,26.8
1/11/2017,42746.21,1,11,5,26.73
1/11/2017,42746.25,1,11,6,26.69
1/11/2017,42746.29,1,11,7,26.6
1/11/2017,42746.33,1,11,8,26.6
1/11/2017,42746.38,1,11,9,26.52
1/11/2017,42746.42,1,11,10,26.5
1/11/2017,42746.46,1,11,11,26.5
1/11/2017,42746.50,1,11,12,26.5
1/11/2017,42746.54,1,11,13,26.58
1/11/2017,42746.58,1,11,14,26.74
1/11/2017,42746.63,1,11,15,26.97
1/11/2017,42746.67,1,11,16,27.14
1/11/2017,42746.71,1,11,17,27.34
1/11/2017,42746.75,1,11,18,27.47
1/11/2017,42746.79,1,11,19,27.65
1/11/2017,42746.83,1,11,20,27.61
1/11/2017,42746.88,1,11,21,27.57
1/11/2017,42746.92,1,11,22,27.38
1/11/2017,42746.96,1,11,23,27.17
1/12/2017,42747.00,1,12,0,27.02
1/12/2017,42747.04,1,12,1,26.83
1/12/2017,42747.08,1,12,2,26.63
1/12/2017,42747.13,1,12,3,26.55
1/12/2017,42747.17,1,12,4,26.47
1/12/2017,42747.21,1,12,5,26.29
1/12/2017,42747.25,1,12,6,26.3
1/12/2017,42747.29,1,12,7,26.22
1/12/2017,42747.33,1,12,8,26.2
1/12/2017,42747.38,1,12,9,26.2
1/12/2017,42747.42,1,12,10,26.2
1/12/2017,42747.46,1,12,11,26.27
1/12/2017,42747.50,1,12,12,26.3
1/12/2017,42747.54,1,12,13,26.41
1/12/2017,42747.58,1,12,14,26.53
1/12/2017,42747.63,1,12,15,26.6
1/12/2017,42747.67,1,12,16,26.71
1/12/2017,42747.71,1,12,17,26.83
1/12/2017,42747.75,1,12,18,26.97
1/12/2017,42747.79,1,12,19,27.05
1/12/2017,42747.83,1,12,20,26.99
1/12/2017,42747.88,1,12,21,26.89
1/12/2017,42747.92,1,12,22,26.75
1/12/2017,42747.96,1,12,23,26.74
1/13/2017,42748.00,1,13,0,26.59
1/13/2017,42748.04,1,13,1,26.44
1/13/2017,42748.08,1,13,2,26.31
1/13/2017,42748.13,1,13,3,26.2
1/13/2017,42748.17,1,13,4,26.07
1/13/2017,42748.21,1,13,5,26
1/13/2017,42748.25,1,13,6,25.93
1/13/2017,42748.29,1,13,7,25.97
1/13/2017,42748.33,1,13,8,26
1/13/2017,42748.38,1,13,9,26.02
1/13/2017,42748.42,1,13,10,26.1
1/13/2017,42748.46,1,13,11,26.2
1/13/2017,42748.50,1,13,12,26.26
1/13/2017,42748.54,1,13,13,26.37
1/13/2017,42748.58,1,13,14,26.45
1/13/2017,42748.63,1,13,15,26.61
1/13/2017,42748.67,1,13,16,26.85
1/13/2017,42748.71,1,13,17,26.93
1/13/2017,42748.75,1,13,18,27
1/13/2017,42748.79,1,13,19,27.17
1/13/2017,42748.83,1,13,20,27.2
1/13/2017,42748.88,1,13,21,27.12
1/13/2017,42748.92,1,13,22,27
1/13/2017,42748.96,1,13,23,26.9
1/14/2017,42749.00,1,14,0,26.76
1/14/2017,42749.04,1,14,1,26.5
1/14/2017,42749.08,1,14,2,26.4
1/14/2017,42749.13,1,14,3,26.31
1/14/2017,42749.17,1,14,4,26.21
1/14/2017,42749.21,1,14,5,26.2
1/14/2017,42749.25,1,14,6,26.13
1/14/2017,42749.29,1,14,7,26.07
1/14/2017,42749.33,1,14,8,25.82
1/14/2017,42749.38,1,14,9,25.8
1/14/2017,42749.42,1,14,10,25.85
1/14/2017,42749.46,1,14,11,25.94
1/14/2017,42749.50,1,14,12,25.96
1/14/2017,42749.54,1,14,13,26.04
1/14/2017,42749.58,1,14,14,26.14
1/14/2017,42749.63,1,14,15,26.37
1/14/2017,42749.67,1,14,16,26.7
1/14/2017,42749.71,1,14,17,27.01
1/14/2017,42749.75,1,14,18,27.16
1/14/2017,42749.79,1,14,19,27.28
1/14/2017,42749.83,1,14,20,27.28
1/14/2017,42749.88,1,14,21,27.28
1/14/2017,42749.92,1,14,22,27.12
1/14/2017,42749.96,1,14,23,27.02
1/15/2017,42750.00,1,15,0,26.84
1/15/2017,42750.04,1,15,1,26.73
1/15/2017,42750.08,1,15,2,26.61
1/15/2017,42750.13,1,15,3,26.44
1/15/2017,42750.17,1,15,4,26.3
1/15/2017,42750.21,1,15,5,26.2
1/15/2017,42750.25,1,15,6,26.1
1/15/2017,42750.29,1,15,7,26.04
1/15/2017,42750.33,1,15,8,25.97
1/15/2017,42750.38,1,15,9,25.9
1/15/2017,42750.42,1,15,10,25.83
1/15/2017,42750.46,1,15,11,25.77
1/15/2017,42750.50,1,15,12,25.92
1/15/2017,42750.54,1,15,13,26.14
1/15/2017,42750.58,1,15,14,26.37
1/15/2017,42750.63,1,15,15,26.6
1/15/2017,42750.67,1,15,16,26.85
1/15/2017,42750.71,1,15,17,27.09
1/15/2017,42750.75,1,15,18,27.39
1/15/2017,42750.79,1,15,19,27.39
1/15/2017,42750.83,1,15,20,27.31
1/15/2017,42750.88,1,15,21,27.14
1/15/2017,42750.92,1,15,22,27.07
1/15/2017,42750.96,1,15,23,27.08
1/16/2017,42751.00,1,16,0,27
1/16/2017,42751.04,1,16,1,26.85
1/16/2017,42751.08,1,16,2,26.64
1/16/2017,42751.13,1,16,3,26.46
1/16/2017,42751.17,1,16,4,26.32
1/16/2017,42751.21,1,16,5,26.2
1/16/2017,42751.25,1,16,6,26.19
1/16/2017,42751.29,1,16,7,26.04
1/16/2017,42751.33,1,16,8,25.92
1/16/2017,42751.38,1,16,9,25.88
1/16/2017,42751.42,1,16,10,25.8
1/16/2017,42751.46,1,16,11,25.72
1/16/2017,42751.50,1,16,12,25.68
1/16/2017,42751.54,1,16,13,25.86
1/16/2017,42751.58,1,16,14,26.1
1/16/2017,42751.63,1,16,15,26.36
1/16/2017,42751.67,1,16,16,26.65
1/16/2017,42751.71,1,16,17,26.93
1/16/2017,42751.75,1,16,18,27.21
1/16/2017,42751.79,1,16,19,27.37
1/16/2017,42751.83,1,16,20,27.23
1/16/2017,42751.88,1,16,21,26.95
1/16/2017,42751.92,1,16,22,26.79
1/16/2017,42751.96,1,16,23,26.57
1/17/2017,42752.00,1,17,0,26.35
1/17/2017,42752.04,1,17,1,26.25
1/17/2017,42752.08,1,17,2,26.17
1/17/2017,42752.13,1,17,3,26.1
1/17/2017,42752.17,1,17,4,26.09
1/17/2017,42752.21,1,17,5,25.99
1/17/2017,42752.25,1,17,6,25.84
1/17/2017,42752.29,1,17,7,25.8
1/17/2017,42752.33,1,17,8,25.85
1/17/2017,42752.38,1,17,9,25.9
1/17/2017,42752.42,1,17,10,25.96
1/17/2017,42752.46,1,17,11,25.93
1/17/2017,42752.50,1,17,12,25.72
1/17/2017,42752.54,1,17,13,25.88
1/17/2017,42752.58,1,17,14,26.14
1/17/2017,42752.63,1,17,15,26.29
1/17/2017,42752.67,1,17,16,26.54
1/17/2017,42752.71,1,17,17,26.83
1/17/2017,42752.75,1,17,18,26.84
1/17/2017,42752.79,1,17,19,26.9
1/17/2017,42752.83,1,17,20,26.98
1/17/2017,42752.88,1,17,21,26.93
1/17/2017,42752.92,1,17,22,26.8
1/17/2017,42752.96,1,17,23,26.71
1/18/2017,42753.00,1,18,0,26.6
1/18/2017,42753.04,1,18,1,26.5
1/18/2017,42753.08,1,18,2,26.41
1/18/2017,42753.13,1,18,3,26.26
1/18/2017,42753.17,1,18,4,26.2
1/18/2017,42753.21,1,18,5,26.11
1/18/2017,42753.25,1,18,6,26.03
1/18/2017,42753.29,1,18,7,26
1/18/2017,42753.33,1,18,8,25.93
1/18/2017,42753.38,1,18,9,25.82
1/18/2017,42753.42,1,18,10,25.74
1/18/2017,42753.46,1,18,11,25.74
1/18/2017,42753.50,1,18,12,25.73
1/18/2017,42753.54,1,18,13,25.86
1/18/2017,42753.58,1,18,14,26.04
1/18/2017,42753.63,1,18,15,26.35
1/18/2017,42753.67,1,18,16,26.61
1/18/2017,42753.71,1,18,17,26.8
1/18/2017,42753.75,1,18,18,27
1/18/2017,42753.79,1,18,19,27.02
1/18/2017,42753.83,1,18,20,27.02
1/18/2017,42753.88,1,18,21,26.93
1/18/2017,42753.92,1,18,22,26.74
1/18/2017,42753.96,1,18,23,26.57
1/19/2017,42754.00,1,19,0,26.43
1/19/2017,42754.04,1,19,1,26.25
1/19/2017,42754.08,1,19,2,26.08
1/19/2017,42754.13,1,19,3,26
1/19/2017,42754.17,1,19,4,25.86
1/19/2017,42754.21,1,19,5,25.79
1/19/2017,42754.25,1,19,6,25.7
1/19/2017,42754.29,1,19,7,25.7
1/19/2017,42754.33,1,19,8,25.63
1/19/2017,42754.38,1,19,9,25.54
1/19/2017,42754.42,1,19,10,25.56
1/19/2017,42754.46,1,19,11,25.7
1/19/2017,42754.50,1,19,12,25.81
1/19/2017,42754.54,1,19,13,25.94
1/19/2017,42754.58,1,19,14,26.1
1/19/2017,42754.63,1,19,15,26.3
1/19/2017,42754.67,1,19,16,26.54
1/19/2017,42754.71,1,19,17,26.7
1/19/2017,42754.75,1,19,18,26.89
1/19/2017,42754.79,1,19,19,26.94
1/19/2017,42754.83,1,19,20,26.96
1/19/2017,42754.88,1,19,21,26.9
1/19/2017,42754.92,1,19,22,26.8
1/19/2017,42754.96,1,19,23,26.71
1/20/2017,42755.00,1,20,0,26.69
1/20/2017,42755.04,1,20,1,26.59
1/20/2017,42755.08,1,20,2,26.48
1/20/2017,42755.13,1,20,3,26.39
1/20/2017,42755.17,1,20,4,26.3
1/20/2017,42755.21,1,20,5,26.24
1/20/2017,42755.25,1,20,6,26.18
1/20/2017,42755.29,1,20,7,26.1
1/20/2017,42755.33,1,20,8,26.04
1/20/2017,42755.38,1,20,9,25.96
1/20/2017,42755.42,1,20,10,25.9
1/20/2017,42755.46,1,20,11,25.86
1/20/2017,42755.50,1,20,12,25.86
1/20/2017,42755.54,1,20,13,25.93
1/20/2017,42755.58,1,20,14,26.04
1/20/2017,42755.63,1,20,15,26.25
1/20/2017,42755.67,1,20,16,26.51
1/20/2017,42755.71,1,20,17,26.75
1/20/2017,42755.75,1,20,18,26.91
1/20/2017,42755.79,1,20,19,27.4
1/20/2017,42755.83,1,20,20,27.34
1/20/2017,42755.88,1,20,21,27.21
1/20/2017,42755.92,1,20,22,27.08
1/20/2017,42755.96,1,20,23,26.95
1/21/2017,42756.00,1,21,0,26.83
1/21/2017,42756.04,1,21,1,26.74
1/21/2017,42756.08,1,21,2,26.73
1/21/2017,42756.13,1,21,3,26.7
1/21/2017,42756.17,1,21,4,26.7
1/21/2017,42756.21,1,21,5,26.7
1/21/2017,42756.25,1,21,6,26.64
1/21/2017,42756.29,1,21,7,26.57
1/21/2017,42756.33,1,21,8,26.5
1/21/2017,42756.38,1,21,9,26.41
1/21/2017,42756.42,1,21,10,26.36
1/21/2017,42756.46,1,21,11,26.26
1/21/2017,42756.50,1,21,12,26.2
1/21/2017,42756.54,1,21,13,26.3
1/21/2017,42756.58,1,21,14,26.45
1/21/2017,42756.63,1,21,15,26.57
1/21/2017,42756.67,1,21,16,26.72
1/21/2017,42756.71,1,21,17,26.89
1/21/2017,42756.75,1,21,18,27
1/21/2017,42756.79,1,21,19,27
1/21/2017,42756.83,1,21,20,27
1/21/2017,42756.88,1,21,21,27
1/21/2017,42756.92,1,21,22,26.89
1/21/2017,42756.96,1,21,23,26.75
1/22/2017,42757.00,1,22,0,26.67
1/22/2017,42757.04,1,22,1,26.57
1/22/2017,42757.08,1,22,2,26.5
1/22/2017,42757.13,1,22,3,26.42
1/22/2017,42757.17,1,22,4,26.37
1/22/2017,42757.21,1,22,5,26.3
1/22/2017,42757.25,1,22,6,26.26
1/22/2017,42757.29,1,22,7,26.2
1/22/2017,42757.33,1,22,8,26.13
1/22/2017,42757.38,1,22,9,26.1
1/22/2017,42757.42,1,22,10,26.1
1/22/2017,42757.46,1,22,11,26.1
1/22/2017,42757.50,1,22,12,26.1
1/22/2017,42757.54,1,22,13,26.18
1/22/2017,42757.58,1,22,14,26.32
1/22/2017,42757.63,1,22,15,26.58
1/22/2017,42757.67,1,22,16,26.78
