DD/MM/YYYY,Date (number),MM (mo),DD (dy),hh (hr),Average of WTMP (deg C)
4/9/2017,42834.42,4,9,10,27.11
4/9/2017,42834.46,4,9,11,27.14
4/9/2017,42834.50,4,9,12,27.22
4/9/2017,42834.54,4,9,13,27.43
4/9/2017,42834.58,4,9,14,27.69
4/9/2017,42834.63,4,9,15,28.14
4/9/2017,42834.67,4,9,16,28.42
4/9/2017,42834.71,4,9,17,28.7
4/9/2017,42834.75,4,9,18,29.05
4/9/2017,42834.79,4,9,19,29.11
4/9/2017,42834.83,4,9,20,28.95
4/9/2017,42834.88,4,9,21,28.78
4/9/2017,42834.92,4,9,22,28.48
4/9/2017,42834.96,4,9,23,28.2
4/10/2017,42835.00,4,10,0,28.15
4/10/2017,42835.04,4,10,1,28.04
4/10/2017,42835.08,4,10,2,27.74
4/10/2017,42835.13,4,10,3,27.7
4/10/2017,42835.17,4,10,4,27.62
4/10/2017,42835.21,4,10,5,27.49
4/10/2017,42835.25,4,10,6,27.4
4/10/2017,42835.29,4,10,7,27.4
4/10/2017,42835.33,4,10,8,27.33
4/10/2017,42835.38,4,10,9,27.19
4/10/2017,42835.42,4,10,10,27.1
4/10/2017,42835.46,4,10,11,27.1
4/10/2017,42835.50,4,10,12,27.1
4/10/2017,42835.54,4,10,13,27.1
4/10/2017,42835.58,4,10,14,27.1
4/10/2017,42835.63,4,10,15,27.07
4/10/2017,42835.67,4,10,16,27.26
4/10/2017,42835.71,4,10,17,27.69
4/10/2017,42835.75,4,10,18,27.98
4/10/2017,42835.79,4,10,19,28
4/10/2017,42835.83,4,10,20,27.99
4/10/2017,42835.88,4,10,21,27.86
4/10/2017,42835.92,4,10,22,27.69
4/10/2017,42835.96,4,10,23,27.65
4/11/2017,42836.00,4,11,0,27.43
4/11/2017,42836.04,4,11,1,27.4
4/11/2017,42836.08,4,11,2,27.4
4/11/2017,42836.13,4,11,3,27.33
4/11/2017,42836.17,4,11,4,27.29
4/11/2017,42836.21,4,11,5,27.2
4/11/2017,42836.25,4,11,6,27.14
4/11/2017,42836.29,4,11,7,27.09
4/11/2017,42836.33,4,11,8,26.99
4/11/2017,42836.38,4,11,9,26.85
4/11/2017,42836.42,4,11,10,26.9
4/11/2017,42836.46,4,11,11,26.93
4/11/2017,42836.50,4,11,12,27.05
4/11/2017,42836.54,4,11,13,27.22
4/11/2017,42836.58,4,11,14,27.48
4/11/2017,42836.63,4,11,15,27.79
4/11/2017,42836.67,4,11,16,27.99
4/11/2017,42836.71,4,11,17,28.29
4/11/2017,42836.75,4,11,18,28.62
4/11/2017,42836.79,4,11,19,28.62
4/11/2017,42836.83,4,11,20,28.56
4/11/2017,42836.88,4,11,21,28.45
4/11/2017,42836.92,4,11,22,28.28
4/11/2017,42836.96,4,11,23,28.13
4/12/2017,42837.00,4,12,0,28.09
4/12/2017,42837.04,4,12,1,28
4/12/2017,42837.08,4,12,2,27.92
4/12/2017,42837.13,4,12,3,27.87
4/12/2017,42837.17,4,12,4,27.7
4/12/2017,42837.21,4,12,5,27.66
4/12/2017,42837.25,4,12,6,27.52
4/12/2017,42837.29,4,12,7,27.46
4/12/2017,42837.33,4,12,8,27.4
4/12/2017,42837.38,4,12,9,27.31
4/12/2017,42837.42,4,12,10,27.3
4/12/2017,42837.46,4,12,11,27.3
4/12/2017,42837.50,4,12,12,27.38
4/12/2017,42837.54,4,12,13,27.52
4/12/2017,42837.58,4,12,14,27.73
4/12/2017,42837.63,4,12,15,28.06
4/12/2017,42837.67,4,12,16,28.46
4/12/2017,42837.71,4,12,17,28.78
4/12/2017,42837.75,4,12,18,29.15
4/12/2017,42837.79,4,12,19,29.14
4/12/2017,42837.83,4,12,20,29.21
4/12/2017,42837.88,4,12,21,29.14
4/12/2017,42837.92,4,12,22,29.1
4/12/2017,42837.96,4,12,23,28.8
4/13/2017,42838.00,4,13,0,28.53
4/13/2017,42838.04,4,13,1,28.39
4/13/2017,42838.08,4,13,2,28.25
4/13/2017,42838.13,4,13,3,28.07
4/13/2017,42838.17,4,13,4,28
4/13/2017,42838.21,4,13,5,28
4/13/2017,42838.25,4,13,6,27.97
4/13/2017,42838.29,4,13,7,27.87
4/13/2017,42838.33,4,13,8,27.74
4/13/2017,42838.38,4,13,9,27.62
4/13/2017,42838.42,4,13,10,27.52
4/13/2017,42838.46,4,13,11,27.54
4/13/2017,42838.50,4,13,12,27.65
4/13/2017,42838.54,4,13,13,27.9
4/13/2017,42838.58,4,13,14,28.09
4/13/2017,42838.63,4,13,15,28.4
4/13/2017,42838.67,4,13,16,28.6
4/13/2017,42838.71,4,13,17,28.89
4/13/2017,42838.75,4,13,18,29.08
4/13/2017,42838.79,4,13,19,29.18
4/13/2017,42838.83,4,13,20,29.2
4/13/2017,42838.88,4,13,21,29.2
4/13/2017,42838.92,4,13,22,29.3
4/13/2017,42838.96,4,13,23,29.04
4/14/2017,42839.00,4,14,0,28.89
4/14/2017,42839.04,4,14,1,28.75
4/14/2017,42839.08,4,14,2,27.91
4/14/2017,42839.13,4,14,3,27.83
4/14/2017,42839.17,4,14,4,27.77
4/14/2017,42839.21,4,14,5,27.7
4/14/2017,42839.25,4,14,6,27.62
4/14/2017,42839.29,4,14,7,27.53
4/14/2017,42839.33,4,14,8,27.45
4/14/2017,42839.38,4,14,9,27.39
4/14/2017,42839.42,4,14,10,27.27
4/14/2017,42839.46,4,14,11,27.23
4/14/2017,42839.50,4,14,12,27.35
4/14/2017,42839.54,4,14,13,27.5
4/14/2017,42839.58,4,14,14,27.58
4/14/2017,42839.63,4,14,15,27.69
4/14/2017,42839.67,4,14,16,27.7
4/14/2017,42839.71,4,14,17,27.8
4/14/2017,42839.75,4,14,18,28.13
4/14/2017,42839.79,4,14,19,28.49
4/14/2017,42839.83,4,14,20,28.76
4/14/2017,42839.88,4,14,21,28.75
4/14/2017,42839.92,4,14,22,28.69
4/14/2017,42839.96,4,14,23,28.55
4/15/2017,42840.00,4,15,0,28.5
4/15/2017,42840.04,4,15,1,28.41
4/15/2017,42840.08,4,15,2,28.32
4/15/2017,42840.13,4,15,3,28.21
4/15/2017,42840.17,4,15,4,28.14
4/15/2017,42840.21,4,15,5,28.1
4/15/2017,42840.25,4,15,6,28.01
4/15/2017,42840.29,4,15,7,28
4/15/2017,42840.33,4,15,8,27.98
4/15/2017,42840.38,4,15,9,27.9
4/15/2017,42840.42,4,15,10,27.86
4/15/2017,42840.46,4,15,11,27.88
4/15/2017,42840.50,4,15,12,27.85
4/15/2017,42840.54,4,15,13,27.93
4/15/2017,42840.58,4,15,14,28.06
4/15/2017,42840.63,4,15,15,27.98
4/15/2017,42840.67,4,15,16,28.02
4/15/2017,42840.71,4,15,17,28.05
4/15/2017,42840.75,4,15,18,28.09
4/15/2017,42840.79,4,15,19,28.13
4/15/2017,42840.83,4,15,20,28.15
4/15/2017,42840.88,4,15,21,28.13
4/15/2017,42840.92,4,15,22,28.06
4/15/2017,42840.96,4,15,23,27.91
4/16/2017,42841.00,4,16,0,27.8
4/16/2017,42841.04,4,16,1,27.69
4/16/2017,42841.08,4,16,2,27.57
4/16/2017,42841.13,4,16,3,27.46
4/16/2017,42841.17,4,16,4,27.39
4/16/2017,42841.21,4,16,5,27.3
4/16/2017,42841.25,4,16,6,27.3
4/16/2017,42841.29,4,16,7,27.3
4/16/2017,42841.33,4,16,8,27.21
4/16/2017,42841.38,4,16,9,27.2
4/16/2017,42841.42,4,16,10,27.17
4/16/2017,42841.46,4,16,11,27.12
4/16/2017,42841.50,4,16,12,27.2
4/16/2017,42841.54,4,16,13,27.28
4/16/2017,42841.58,4,16,14,27.54
4/16/2017,42841.63,4,16,15,27.89
4/16/2017,42841.67,4,16,16,28.09
4/16/2017,42841.71,4,16,17,28.14
4/16/2017,42841.75,4,16,18,28.29
4/16/2017,42841.79,4,16,19,28.33
4/16/2017,42841.83,4,16,20,28.4
4/16/2017,42841.88,4,16,21,28.39
4/16/2017,42841.92,4,16,22,28.24
4/16/2017,42841.96,4,16,23,28.05
4/17/2017,42842.00,4,17,0,27.84
4/17/2017,42842.04,4,17,1,27.68
4/17/2017,42842.08,4,17,2,27.51
4/17/2017,42842.13,4,17,3,27.39
4/17/2017,42842.17,4,17,4,27.3
4/17/2017,42842.21,4,17,5,27.2
4/17/2017,42842.25,4,17,6,27.14
4/17/2017,42842.29,4,17,7,27.06
4/17/2017,42842.33,4,17,8,27
4/17/2017,42842.38,4,17,9,26.94
4/17/2017,42842.42,4,17,10,26.9
4/17/2017,42842.46,4,17,11,26.85
4/17/2017,42842.50,4,17,12,26.9
4/17/2017,42842.54,4,17,13,26.9
4/17/2017,42842.58,4,17,14,27
4/17/2017,42842.63,4,17,15,27.16
4/17/2017,42842.67,4,17,16,27.39
4/17/2017,42842.71,4,17,17,27.73
4/17/2017,42842.75,4,17,18,27.96
4/17/2017,42842.79,4,17,19,27.82
4/17/2017,42842.83,4,17,20,27.53
4/17/2017,42842.88,4,17,21,27.34
4/17/2017,42842.92,4,17,22,27.25
4/17/2017,42842.96,4,17,23,27.09
4/18/2017,42843.00,4,18,0,26.92
4/18/2017,42843.04,4,18,1,26.8
4/18/2017,42843.08,4,18,2,26.8
4/18/2017,42843.13,4,18,3,26.7
4/18/2017,42843.17,4,18,4,26.7
4/18/2017,42843.21,4,18,5,26.63
4/18/2017,42843.25,4,18,6,26.6
4/18/2017,42843.29,4,18,7,26.5
4/18/2017,42843.33,4,18,8,26.49
4/18/2017,42843.38,4,18,9,26.4
4/18/2017,42843.42,4,18,10,26.4
4/18/2017,42843.46,4,18,11,26.4
4/18/2017,42843.50,4,18,12,26.4
4/18/2017,42843.54,4,18,13,26.51
4/18/2017,42843.58,4,18,14,26.65
4/18/2017,42843.63,4,18,15,26.75
4/18/2017,42843.67,4,18,16,26.8
4/18/2017,42843.71,4,18,17,26.91
4/18/2017,42843.75,4,18,18,26.98
4/18/2017,42843.79,4,18,19,27.02
4/18/2017,42843.83,4,18,20,26.92
4/18/2017,42843.88,4,18,21,26.77
4/18/2017,42843.92,4,18,22,26.61
4/18/2017,42843.96,4,18,23,26.56
4/19/2017,42844.00,4,19,0,26.45
4/19/2017,42844.04,4,19,1,26.39
4/19/2017,42844.08,4,19,2,26.32
4/19/2017,42844.13,4,19,3,26.33
4/19/2017,42844.17,4,19,4,26.33
4/19/2017,42844.21,4,19,5,26.27
4/19/2017,42844.25,4,19,6,26.18
4/19/2017,42844.29,4,19,7,26.1
4/19/2017,42844.33,4,19,8,26.27
4/19/2017,42844.38,4,19,9,26.25
4/19/2017,42844.42,4,19,10,26.23
4/19/2017,42844.46,4,19,11,26.29
4/19/2017,42844.50,4,19,12,26.34
4/19/2017,42844.54,4,19,13,26.54
4/19/2017,42844.58,4,19,14,26.8
4/19/2017,42844.63,4,19,15,26.96
4/19/2017,42844.67,4,19,16,27.19
4/19/2017,42844.71,4,19,17,27.29
4/19/2017,42844.75,4,19,18,27.44
4/19/2017,42844.79,4,19,19,27.65
4/19/2017,42844.83,4,19,20,27.64
4/19/2017,42844.88,4,19,21,27.54
4/19/2017,42844.92,4,19,22,27.18
4/19/2017,42844.96,4,19,23,26.93
4/20/2017,42845.00,4,20,0,26.75
4/20/2017,42845.04,4,20,1,26.59
4/20/2017,42845.08,4,20,2,26.51
4/20/2017,42845.13,4,20,3,26.55
4/20/2017,42845.17,4,20,4,26.5
4/20/2017,42845.21,4,20,5,26.5
4/20/2017,42845.25,4,20,6,26.5
4/20/2017,42845.29,4,20,7,26.5
4/20/2017,42845.33,4,20,8,26.5
4/20/2017,42845.38,4,20,9,26.49
4/20/2017,42845.42,4,20,10,26.41
4/20/2017,42845.46,4,20,11,26.34
4/20/2017,42845.50,4,20,12,26.42
4/20/2017,42845.54,4,20,13,26.63
4/20/2017,42845.58,4,20,14,26.91
4/20/2017,42845.63,4,20,15,27.15
4/20/2017,42845.67,4,20,16,27.47
4/20/2017,42845.71,4,20,17,27.79
4/20/2017,42845.75,4,20,18,27.93
4/20/2017,42845.79,4,20,19,27.67
4/20/2017,42845.83,4,20,20,27.62
4/20/2017,42845.88,4,20,21,27.47
4/20/2017,42845.92,4,20,22,27.31
4/20/2017,42845.96,4,20,23,27.14
4/21/2017,42846.00,4,21,0,26.99
4/21/2017,42846.04,4,21,1,26.83
4/21/2017,42846.08,4,21,2,26.73
4/21/2017,42846.13,4,21,3,26.63
4/21/2017,42846.17,4,21,4,26.53
4/21/2017,42846.21,4,21,5,26.52
4/21/2017,42846.25,4,21,6,26.5
4/21/2017,42846.29,4,21,7,26.5
4/21/2017,42846.33,4,21,8,26.5
4/21/2017,42846.38,4,21,9,26.42
4/21/2017,42846.42,4,21,10,26.33
4/21/2017,42846.46,4,21,11,26.3
4/21/2017,42846.50,4,21,12,26.34
4/21/2017,42846.54,4,21,13,26.51
4/21/2017,42846.58,4,21,14,26.81
4/21/2017,42846.63,4,21,15,27.16
4/21/2017,42846.67,4,21,16,27.63
4/21/2017,42846.71,4,21,17,27.95
4/21/2017,42846.75,4,21,18,27.87
4/21/2017,42846.79,4,21,19,27.87
4/21/2017,42846.83,4,21,20,27.83
4/21/2017,42846.88,4,21,21,27.77
4/21/2017,42846.92,4,21,22,27.51
4/21/2017,42846.96,4,21,23,27.27
4/22/2017,42847.00,4,22,0,27.06
4/22/2017,42847.04,4,22,1,26.92
4/22/2017,42847.08,4,22,2,26.85
4/22/2017,42847.13,4,22,3,26.75
4/22/2017,42847.17,4,22,4,26.7
4/22/2017,42847.21,4,22,5,26.63
4/22/2017,42847.25,4,22,6,26.6
4/22/2017,42847.29,4,22,7,26.58
4/22/2017,42847.33,4,22,8,26.55
4/22/2017,42847.38,4,22,9,26.48
4/22/2017,42847.42,4,22,10,26.4
4/22/2017,42847.46,4,22,11,26.4
4/22/2017,42847.50,4,22,12,26.5
4/22/2017,42847.54,4,22,13,26.62
4/22/2017,42847.58,4,22,14,26.82
4/22/2017,42847.63,4,22,15,27.09
4/22/2017,42847.67,4,22,16,27.54
4/22/2017,42847.71,4,22,17,27.76
4/22/2017,42847.75,4,22,18,27.82
4/22/2017,42847.79,4,22,19,27.84
4/22/2017,42847.83,4,22,20,28.04
4/22/2017,42847.88,4,22,21,27.86
4/22/2017,42847.92,4,22,22,27.52
4/22/2017,42847.96,4,22,23,27.3
4/23/2017,42848.00,4,23,0,27.11
4/23/2017,42848.04,4,23,1,26.89
4/23/2017,42848.08,4,23,2,26.77
4/23/2017,42848.13,4,23,3,26.66
4/23/2017,42848.17,4,23,4,26.49
4/23/2017,42848.21,4,23,5,26.33
4/23/2017,42848.25,4,23,6,26.34
4/23/2017,42848.29,4,23,7,26.4
4/23/2017,42848.33,4,23,8,26.4
4/23/2017,42848.38,4,23,9,26.35
4/23/2017,42848.42,4,23,10,26.29
4/23/2017,42848.46,4,23,11,26.3
4/23/2017,42848.50,4,23,12,26.41
4/23/2017,42848.54,4,23,13,26.59
4/23/2017,42848.58,4,23,14,26.8
4/23/2017,42848.63,4,23,15,27
4/23/2017,42848.67,4,23,16,27.37
4/23/2017,42848.71,4,23,17,28.01
4/23/2017,42848.75,4,23,18,27.86
4/23/2017,42848.79,4,23,19,27.97
4/23/2017,42848.83,4,23,20,27.88
4/23/2017,42848.88,4,23,21,27.93
4/23/2017,42848.92,4,23,22,27.82
4/23/2017,42848.96,4,23,23,27.69
4/24/2017,42849.00,4,24,0,27.48
4/24/2017,42849.04,4,24,1,27.31
4/24/2017,42849.08,4,24,2,27.18
4/24/2017,42849.13,4,24,3,26.97
4/24/2017,42849.17,4,24,4,26.89
4/24/2017,42849.21,4,24,5,26.76
4/24/2017,42849.25,4,24,6,26.7
4/24/2017,42849.29,4,24,7,26.68
4/24/2017,42849.33,4,24,8,26.6
4/24/2017,42849.38,4,24,9,26.6
4/24/2017,42849.42,4,24,10,26.63
4/24/2017,42849.46,4,24,11,26.7
4/24/2017,42849.50,4,24,12,26.71
4/24/2017,42849.54,4,24,13,26.84
4/24/2017,42849.58,4,24,14,27.02
4/24/2017,42849.63,4,24,15,27.29
4/24/2017,42849.67,4,24,16,27.65
4/24/2017,42849.71,4,24,17,27.77
4/24/2017,42849.75,4,24,18,27.98
4/24/2017,42849.79,4,24,19,28.14
4/24/2017,42849.83,4,24,20,27.91
4/24/2017,42849.88,4,24,21,27.85
4/24/2017,42849.92,4,24,22,27.84
4/24/2017,42849.96,4,24,23,27.78
4/25/2017,42850.00,4,25,0,27.56
4/25/2017,42850.04,4,25,1,27.41
4/25/2017,42850.08,4,25,2,27.25
4/25/2017,42850.13,4,25,3,27.19
4/25/2017,42850.17,4,25,4,27.08
4/25/2017,42850.21,4,25,5,27
4/25/2017,42850.25,4,25,6,26.92
4/25/2017,42850.29,4,25,7,26.84
4/25/2017,42850.33,4,25,8,26.76
4/25/2017,42850.38,4,25,9,26.7
4/25/2017,42850.42,4,25,10,26.7
4/25/2017,42850.46,4,25,11,26.74
4/25/2017,42850.50,4,25,12,26.8
4/25/2017,42850.54,4,25,13,26.9
4/25/2017,42850.58,4,25,14,27.1
4/25/2017,42850.63,4,25,15,27.44
4/25/2017,42850.67,4,25,16,28
4/25/2017,42850.71,4,25,17,28.15
4/25/2017,42850.75,4,25,18,28.34
4/25/2017,42850.79,4,25,19,28.36
4/25/2017,42850.83,4,25,20,28.17
4/25/2017,42850.88,4,25,21,28.12
4/25/2017,42850.92,4,25,22,28.03
4/25/2017,42850.96,4,25,23,27.92
4/26/2017,42851.00,4,26,0,27.78
4/26/2017,42851.04,4,26,1,27.65
4/26/2017,42851.08,4,26,2,27.55
4/26/2017,42851.13,4,26,3,27.45
4/26/2017,42851.17,4,26,4,27.32
4/26/2017,42851.21,4,26,5,27.26
4/26/2017,42851.25,4,26,6,27.2
4/26/2017,42851.29,4,26,7,27.11
4/26/2017,42851.33,4,26,8,27.03
4/26/2017,42851.38,4,26,9,26.97
4/26/2017,42851.42,4,26,10,26.9
4/26/2017,42851.46,4,26,11,26.9
4/26/2017,42851.50,4,26,12,26.99
4/26/2017,42851.54,4,26,13,27.1
4/26/2017,42851.58,4,26,14,27.27
4/26/2017,42851.63,4,26,15,27.62
4/26/2017,42851.67,4,26,16,28.04
4/26/2017,42851.71,4,26,17,28.41
4/26/2017,42851.75,4,26,18,28.73
4/26/2017,42851.79,4,26,19,28.52
4/26/2017,42851.83,4,26,20,28.44
4/26/2017,42851.88,4,26,21,28.46
4/26/2017,42851.92,4,26,22,28.5
4/26/2017,42851.96,4,26,23,28.32
4/27/2017,42852.00,4,27,0,28.07
4/27/2017,42852.04,4,27,1,27.84
4/27/2017,42852.08,4,27,2,27.64
4/27/2017,42852.13,4,27,3,27.47
4/27/2017,42852.17,4,27,4,27.38
4/27/2017,42852.21,4,27,5,27.3
4/27/2017,42852.25,4,27,6,27.15
4/27/2017,42852.29,4,27,7,27.06
4/27/2017,42852.33,4,27,8,27
4/27/2017,42852.38,4,27,9,26.93
4/27/2017,42852.42,4,27,10,26.8
4/27/2017,42852.46,4,27,11,26.79
4/27/2017,42852.50,4,27,12,26.92
4/27/2017,42852.54,4,27,13,27.09
4/27/2017,42852.58,4,27,14,27.39
4/27/2017,42852.63,4,27,15,27.66
4/27/2017,42852.67,4,27,16,27.93
4/27/2017,42852.71,4,27,17,28.32
4/27/2017,42852.75,4,27,18,28.46
4/27/2017,42852.79,4,27,19,28.48
4/27/2017,42852.83,4,27,20,28.36
4/27/2017,42852.88,4,27,21,28.12
4/27/2017,42852.92,4,27,22,28.13
4/27/2017,42852.96,4,27,23,27.89
4/28/2017,42853.00,4,28,0,27.66
4/28/2017,42853.04,4,28,1,27.5
4/28/2017,42853.08,4,28,2,27.33
4/28/2017,42853.13,4,28,3,27.23
4/28/2017,42853.17,4,28,4,27.1
4/28/2017,42853.21,4,28,5,27.1
4/28/2017,42853.25,4,28,6,27.03
4/28/2017,42853.29,4,28,7,26.9
4/28/2017,42853.33,4,28,8,26.78
4/28/2017,42853.38,4,28,9,26.7
4/28/2017,42853.42,4,28,10,26.7
4/28/2017,42853.46,4,28,11,26.78
4/28/2017,42853.50,4,28,12,26.92
4/28/2017,42853.54,4,28,13,27.08
4/28/2017,42853.58,4,28,14,27.3
4/28/2017,42853.63,4,28,15,27.56
4/28/2017,42853.67,4,28,16,27.67
4/28/2017,42853.71,4,28,17,27.71
4/28/2017,42853.75,4,28,18,27.91
4/28/2017,42853.79,4,28,19,28.2
4/28/2017,42853.83,4,28,20,28.25
4/28/2017,42853.88,4,28,21,28.06
4/28/2017,42853.92,4,28,22,27.79
4/28/2017,42853.96,4,28,23,27.57
4/29/2017,42854.00,4,29,0,27.38
4/29/2017,42854.04,4,29,1,27.28
4/29/2017,42854.08,4,29,2,27.2
4/29/2017,42854.13,4,29,3,27.19
4/29/2017,42854.17,4,29,4,27.11
4/29/2017,42854.21,4,29,5,27.09
4/29/2017,42854.25,4,29,6,27.01
4/29/2017,42854.29,4,29,7,26.97
4/29/2017,42854.33,4,29,8,26.85
4/29/2017,42854.38,4,29,9,26.72
4/29/2017,42854.42,4,29,10,26.63
4/29/2017,42854.46,4,29,11,26.73
4/29/2017,42854.50,4,29,12,26.8
4/29/2017,42854.54,4,29,13,26.8
4/29/2017,42854.58,4,29,14,26.79
4/29/2017,42854.63,4,29,15,26.82
4/29/2017,42854.67,4,29,16,26.9
4/29/2017,42854.71,4,29,17,27.09
4/29/2017,42854.75,4,29,18,27.4
4/29/2017,42854.79,4,29,19,27.4
4/29/2017,42854.83,4,29,20,27.4
4/29/2017,42854.88,4,29,21,27.28
4/29/2017,42854.92,4,29,22,27.1
4/29/2017,42854.96,4,29,23,26.98
4/30/2017,42855.00,4,30,0,26.89
4/30/2017,42855.04,4,30,1,26.77
4/30/2017,42855.08,4,30,2,26.7
4/30/2017,42855.13,4,30,3,26.7
4/30/2017,42855.17,4,30,4,26.68
4/30/2017,42855.21,4,30,5,26.65
4/30/2017,42855.25,4,30,6,26.6
4/30/2017,42855.29,4,30,7,26.6
4/30/2017,42855.33,4,30,8,26.6
4/30/2017,42855.38,4,30,9,26.57
4/30/2017,42855.42,4,30,10,26.5
4/30/2017,42855.46,4,30,11,26.57
4/30/2017,42855.50,4,30,12,26.64
4/30/2017,42855.54,4,30,13,26.7
4/30/2017,42855.58,4,30,14,26.7
4/30/2017,42855.63,4,30,15,26.76
4/30/2017,42855.67,4,30,16,26.98
4/30/2017,42855.71,4,30,17,27.1
4/30/2017,42855.75,4,30,18,27.11
4/30/2017,42855.79,4,30,19,27.1
4/30/2017,42855.83,4,30,20,27.1
4/30/2017,42855.88,4,30,21,27.05
4/30/2017,42855.92,4,30,22,26.91
4/30/2017,42855.96,4,30,23,26.73
5/1/2017,42856.00,5,1,0,26.67
5/1/2017,42856.04,5,1,1,26.7
5/1/2017,42856.08,5,1,2,26.62
5/1/2017,42856.13,5,1,3,26.4
5/1/2017,42856.17,5,1,4,26.36
5/1/2017,42856.21,5,1,5,26.33
5/1/2017,42856.25,5,1,6,26.29
5/1/2017,42856.29,5,1,7,26.24
5/1/2017,42856.33,5,1,8,26.26
5/1/2017,42856.38,5,1,9,26.3
5/1/2017,42856.42,5,1,10,26.3
5/1/2017,42856.46,5,1,11,26.3
5/1/2017,42856.50,5,1,12,26.3
5/1/2017,42856.54,5,1,13,26.29
5/1/2017,42856.58,5,1,14,26.4
5/1/2017,42856.63,5,1,15,26.7
5/1/2017,42856.67,5,1,16,26.99
5/1/2017,42856.71,5,1,17,27.33
5/1/2017,42856.75,5,1,18,27.58
5/1/2017,42856.79,5,1,19,27.87
5/1/2017,42856.83,5,1,20,27.84
5/1/2017,42856.88,5,1,21,27.6
5/1/2017,42856.92,5,1,22,27.34
5/1/2017,42856.96,5,1,23,27.05
5/2/2017,42857.00,5,2,0,26.88
5/2/2017,42857.04,5,2,1,26.75
5/2/2017,42857.08,5,2,2,26.65
5/2/2017,42857.13,5,2,3,26.6
5/2/2017,42857.17,5,2,4,26.5
5/2/2017,42857.21,5,2,5,26.48
5/2/2017,42857.25,5,2,6,26.4
5/2/2017,42857.29,5,2,7,26.4
5/2/2017,42857.33,5,2,8,26.31
5/2/2017,42857.38,5,2,9,26.33
5/2/2017,42857.42,5,2,10,26.3
5/2/2017,42857.46,5,2,11,26.36
5/2/2017,42857.50,5,2,12,26.47
5/2/2017,42857.54,5,2,13,26.51
5/2/2017,42857.58,5,2,14,26.63
5/2/2017,42857.63,5,2,15,27.03
5/2/2017,42857.67,5,2,16,27.54
5/2/2017,42857.71,5,2,17,27.91
5/2/2017,42857.75,5,2,18,27.9
5/2/2017,42857.79,5,2,19,27.99
5/2/2017,42857.83,5,2,20,28.08
5/2/2017,42857.88,5,2,21,27.82
5/2/2017,42857.92,5,2,22,27.67
5/2/2017,42857.96,5,2,23,27.41
5/3/2017,42858.00,5,3,0,27.14
5/3/2017,42858.04,5,3,1,26.97
5/3/2017,42858.08,5,3,2,26.87
5/3/2017,42858.13,5,3,3,26.77
5/3/2017,42858.17,5,3,4,26.7
5/3/2017,42858.21,5,3,5,26.68
5/3/2017,42858.25,5,3,6,26.6
5/3/2017,42858.29,5,3,7,26.6
5/3/2017,42858.33,5,3,8,26.6
5/3/2017,42858.38,5,3,9,26.51
5/3/2017,42858.42,5,3,10,26.45
5/3/2017,42858.46,5,3,11,26.49
5/3/2017,42858.50,5,3,12,26.58
5/3/2017,42858.54,5,3,13,26.77
5/3/2017,42858.58,5,3,14,27.1
5/3/2017,42858.63,5,3,15,27.59
5/3/2017,42858.67,5,3,16,28
5/3/2017,42858.71,5,3,17,28.17
5/3/2017,42858.75,5,3,18,28.19
5/3/2017,42858.79,5,3,19,28.14
5/3/2017,42858.83,5,3,20,28.23
5/3/2017,42858.88,5,3,21,28.22
5/3/2017,42858.92,5,3,22,28.01
5/3/2017,42858.96,5,3,23,27.84
5/4/2017,42859.00,5,4,0,27.62
5/4/2017,42859.04,5,4,1,27.44
5/4/2017,42859.08,5,4,2,27.32
5/4/2017,42859.13,5,4,3,27.24
5/4/2017,42859.17,5,4,4,27.14
5/4/2017,42859.21,5,4,5,27.06
5/4/2017,42859.25,5,4,6,26.96
5/4/2017,42859.29,5,4,7,26.88
5/4/2017,42859.33,5,4,8,26.8
5/4/2017,42859.38,5,4,9,26.8
5/4/2017,42859.42,5,4,10,26.75
5/4/2017,42859.46,5,4,11,26.77
5/4/2017,42859.50,5,4,12,26.85
5/4/2017,42859.54,5,4,13,26.95
5/4/2017,42859.58,5,4,14,27.28
5/4/2017,42859.63,5,4,15,27.63
5/4/2017,42859.67,5,4,16,27.94
5/4/2017,42859.71,5,4,17,28.31
5/4/2017,42859.75,5,4,18,28.53
5/4/2017,42859.79,5,4,19,28.56
5/4/2017,42859.83,5,4,20,28.54
5/4/2017,42859.88,5,4,21,28.53
5/4/2017,42859.92,5,4,22,28.35
5/4/2017,42859.96,5,4,23,28.16
5/5/2017,42860.00,5,5,0,27.96
5/5/2017,42860.04,5,5,1,27.86
5/5/2017,42860.08,5,5,2,27.75
5/5/2017,42860.13,5,5,3,27.64
5/5/2017,42860.17,5,5,4,27.52
5/5/2017,42860.21,5,5,5,27.37
5/5/2017,42860.25,5,5,6,27.27
5/5/2017,42860.29,5,5,7,27.2
5/5/2017,42860.33,5,5,8,27.07
5/5/2017,42860.38,5,5,9,26.92
5/5/2017,42860.42,5,5,10,26.9
5/5/2017,42860.46,5,5,11,26.94
5/5/2017,42860.50,5,5,12,27
5/5/2017,42860.54,5,5,13,27.14
5/5/2017,42860.58,5,5,14,27.29
5/5/2017,42860.63,5,5,15,27.89
5/5/2017,42860.67,5,5,16,28.38
5/5/2017,42860.71,5,5,17,28.2
5/5/2017,42860.75,5,5,18,28.31
5/5/2017,42860.79,5,5,19,28.45
5/5/2017,42860.83,5,5,20,28.57
